유형,채권분류코드,표준코드,종목명,채권이자분류코드,상장일,발행일,상환일
F9,02,KR101701D716,국민주택2종17-01                        1220170102201701312027013,1,,,N
F9,02,KR101701D757,국민주택2종17-05                        1220170502201705312027053,1,,,N
F9,02,KR102701GF63,외평채권02375-2606(25-6)                1320250623202506102026061,0,,,N
F9,02,KR102701GF71,외평채권02250-2607(25-7)                1320250721202507102026071,0,,,N
F9,02,KR102701GF89,외평채권02250-2608(25-8)                1320250825202508102026081,0,,,N
F9,02,KR102701GF97,외평채권02250-2609(25-9)                1320250922202509102026091,0,,,N
F9,02,KR102701GFA4,외평채권02375-2610(25-10)               1320251027202510102026101,0,,,N
F9,02,KR102701GFB2,외평채권02500-2611(25-11)               1320251124202511102026111,0,,,N
F9,02,KR102701GFC0,외평채권02500-2612(25-12)               1320251222202512102026121,0,,,N
F9,02,KR102701GG13,외평채권02750-2701(26-1)                1320260126202601102027011,0,,,N
F9,02,KR102701GG21,외평채권02750-2702(26-2)                1320260213202602102027021,0,,,N
F9,02,KR102701GG39,외평채권02875-2703(26-3)                1320260323202603102027031,0,,,N
F9,02,KR102701GG47,외평채권03000-2704(26-4)                1320260420202604102027041,0,,,N
F9,02,KR102701GG54,외평채권03250-2705(26-5)                1320260526202605102027051,0,,,N
F9,02,KR103101AG47,재정2026-0090-0063                      1120260402202604022026060,4,,,N
F9,02,KR103101AG54,재정2026-0140-0063                      1120260507202605072026070,9,,,N
F9,02,KR103102AG46,재정2026-0100-0063                      1120260409202604092026061,1,,,N
F9,02,KR103102AG53,재정2026-0150-0063                      1120260514202605142026071,6,,,N
F9,02,KR103103AG45,재정2026-0110-0063                      1120260416202604162026061,8,,,N
F9,02,KR103103AG52,재정2026-0160-0063                      1120260521202605212026072,3,,,N
F9,02,KR103104AG44,재정2026-0120-0063                      1120260423202604232026062,5,,,N
F9,02,KR103104AG51,재정2026-0170-0063                      1120260528202605282026073,0,,,N
F9,02,KR103105AG43,재정2026-0130-0063                      1120260430202604302026070,2,,,N
F9,02,KR10350172C8,국고03000-4212(12-5)                    1320120911201212102042121,0,,,Y
F9,02,KR103501GB91,국고01750-2609(21-7)                    1320210720202109102026091,0,,,N
F9,02,KR103501GC33,국고02375-2703(22-1)                    1320220125202203102027031,0,,,Y
F9,02,KR103501GC90,국고03125-2709(22-8)                    1320220719202209102027091,0,,,N
F9,02,KR103501GD32,국고03250-2803(23-1)                    1320230131202303102028031,0,,,N
F9,02,KR103501GD65,국고03125-2606(23-4)                    1320230411202306102026061,0,,,N
F9,02,KR103501GD99,국고03500-2809(23-6)                    1320230718202309102028091,0,,,N
F9,02,KR103501GDC8,국고03875-2612(23-10)                   1320231012202312102026121,0,,,N
F9,02,KR103501GE31,국고03250-2903(24-1)                    1320240123202403102029031,0,,,Y
F9,02,KR103501GE64,국고03250-2706(24-4)                    1320240411202406102027061,0,,,N
F9,02,KR103501GE98,국고03000-2909(24-7)                    1320240723202409102029091,0,,,Y
F9,02,KR103501GEC6,국고02875-2712(24-12)                   1320241015202412102027121,0,,,N
F9,02,KR103501GF30,국고02625-2703(25-1)                    1320250204202503102027031,0,,,N
F9,02,KR103501GF63,국고02250-2806(25-4)                    1320250513202506102028061,0,,,N
F9,02,KR103501GF97,국고02250-2709(25-6)                    1320250805202509102027091,0,,,N
F9,02,KR103501GFC3,국고02750-2812(25-10)                   1320251111202512102028121,0,,,N
F9,02,KR103501GG39,국고03500-5603(26-2)                    1320260204202603102056031,0,,,N
F9,02,KR103501GG62,국고03500-2906(26-5)                    1320260512202606102029061,0,,,N
F9,02,KR10350270C0,국고04750-3012(10-7)                    1320101228201012102030121,0,,,N
F9,02,KR10350271C8,국고04000-3112(11-7)                    1320111227201112102031121,0,,,Y
F9,02,KR1035027V32,국고05500-2803(08-2)                    1320080325200803102028031,0,,,N
F9,02,KR1035027WC3,국고05500-2912(09-5)                    1320091229200912102029121,0,,,N
F9,02,KR103502G3C1,국고03750-3312(13-8)                    1320131224201312102033121,0,,,Y
F9,02,KR103502G4C9,국고02750-4412(14-7)                    1320141202201412102044121,0,,,N
F9,02,KR103502G594,국고02625-3509(15-6)                    1320150623201509102035091,0,,,N
F9,02,KR103502G636,국고02000-4603(16-1)                    1320160203201603102046031,0,,,Y
F9,02,KR103502G669,국고01875-2606(16-3)                    1320160315201606102026061,0,,,N
F9,02,KR103502G693,국고01500-3609(16-6)                    1320160823201609102036091,0,,,Y
F9,02,KR103502G6C4,국고01500-2612(16-8)                    1320160920201612102026121,0,,,Y
F9,02,KR103502G735,국고02125-4703(17-1)                    1320170209201703102047031,0,,,N
F9,02,KR103502G768,국고02125-2706(17-3)                    1320170321201706102027061,0,,,N
F9,02,KR103502G792,국고02250-3709(17-5)                    1320170822201709102037091,0,,,N
F9,02,KR103502G7C2,국고02375-2712(17-7)                    1320171017201712102027121,0,,,Y
F9,02,KR103502G834,국고02625-4803(18-2)                    1320180208201803102048031,0,,,N
F9,02,KR103502G867,국고02625-2806(18-4)                    1320180417201806102028061,0,,,N
F9,02,KR103502G891,국고02375-3809(18-7)                    1320180821201809102038091,0,,,N
F9,02,KR103502G8C0,국고02375-2812(18-10)                   1320181016201812102028121,0,,,N
F9,02,KR103502G933,국고02000-4903(19-2)                    1320190130201903102049031,0,,,Y
F9,02,KR103502G966,국고01875-2906(19-4)                    1320190416201906102029061,0,,,N
F9,02,KR103502G990,국고01125-3909(19-6)                    1320190820201909102039091,0,,,Y
F9,02,KR103502G9C8,국고01375-2912(19-8)                    1320191015201912102029121,0,,,Y
F9,02,KR103502GA34,국고01500-5003(20-2)                    1320200206202003102050031,0,,,Y
F9,02,KR103502GA67,국고01375-3006(20-4)                    1320200414202006102030061,0,,,Y
F9,02,KR103502GA91,국고01500-4009(20-7)                    1320200825202009102040091,0,,,Y
F9,02,KR103502GAC2,국고01500-3012(20-9)                    1320201020202012102030121,0,,,Y
F9,02,KR103502GB33,국고01875-5103(21-2)                    1320210202202103102051031,0,,,Y
F9,02,KR103502GB66,국고02000-3106(21-5)                    1320210420202106102031061,0,,,Y
F9,02,KR103502GBC0,국고02375-3112(21-11)                   1320211019202112102031121,0,,,Y
F9,02,KR103502GC32,국고02500-5203(22-2)                    1320220208202203102052031,0,,,N
F9,02,KR103502GC65,국고03375-3206(22-5)                    1320220419202206102032061,0,,,Y
F9,02,KR103502GC99,국고03125-5209(22-9)                    1320220802202209102052091,0,,,Y
F9,02,KR103502GCC8,국고04250-3212(22-14)                   1320221018202212102032121,0,,,Y
F9,02,KR103502GD31,국고03250-5303(23-2)                    1320230207202303102053031,0,,,Y
F9,02,KR103502GD64,국고03250-3306(23-5)                    1320230418202306102033061,0,,,Y
F9,02,KR103502GD98,국고03625-5309(23-7)                    1320230801202309102053091,0,,,Y
F9,02,KR103502GDC6,국고04125-3312(23-11)                   1320231017202312102033121,0,,,Y
F9,02,KR103502GE30,국고03250-5403(24-2)                    1320240130202403102054031,0,,,Y
F9,02,KR103502GE63,국고03500-3406(24-5)                    1320240416202406102034061,0,,,Y
F9,02,KR103502GE97,국고02750-5409(24-8)                    1320240806202409102054091,0,,,Y
F9,02,KR103502GEC4,국고03000-3412(24-13)                   1320241022202412102034121,0,,,Y
F9,02,KR103502GF39,국고02625-5503(25-2)                    1320250206202503102055031,0,,,N
F9,02,KR103502GF62,국고02625-3506(25-5)                    1320250520202506102035061,0,,,N
F9,02,KR103502GF96,국고02625-5509(25-7)                    1320250807202509102055091,0,,,N
F9,02,KR103502GFC1,국고03250-3512(25-11)                   1320251118202512102035121,0,,,N
F9,02,KR103502GG38,국고03000-2803(26-1)                    1320260203202603102028031,0,,,N
F9,02,KR103502GG61,물가01125-3606(26-4)                    1320260511202606102036061,0,,,N
F9,02,KR1035037T34,국고05250-2703(07-3)                    1320070327200703102027031,0,,,N
F9,02,KR103503G667,물가01000-2606(16-5)                    1320160621201606102026061,0,,,N
F9,02,KR103503G691,국고01500-6609(16-9)                    1320161011201609102066091,0,,,N
F9,02,KR103503G865,물가01750-2806(18-5)                    1320180529201806102028061,0,,,N
F9,02,KR103503G899,국고02000-6809(18-8)                    1320180913201809102068091,0,,,N
F9,02,KR103503GA66,물가01125-3006(20-5)                    1320200519202006102030061,0,,,N
F9,02,KR103503GA90,국고01625-7009(20-10)                   1320201019202009102070091,0,,,Y
F9,02,KR103503GB99,국고01875-4109(21-9)                    1320210825202109102041091,0,,,Y
F9,02,KR103503GC64,물가01625-3206(22-6)                    1320220509202206102032061,0,,,N
F9,02,KR103503GE62,물가00750-3406(24-6)                    1320240507202406102034061,0,,,N
F9,02,KR103503GE96,국고02875-2609(24-9)                    1320240814202409102026091,0,,,N
F9,02,KR103503GF38,국고02625-3003(25-3)                    1320250225202503102030031,0,,,Y
F9,02,KR103503GF95,국고02500-3009(25-8)                    1320250826202509102030091,0,,,N
F9,02,KR103503GG37,국고03375-3103(26-3)                    1320260224202603102031031,0,,,N
F9,02,KR103503GG60,국고04250-3606(26-6)                    1320260519202606102036061,0,,,N
F9,02,KR103504GC97,국고03250-4209(22-11)                   1320220824202209102042091,0,,,Y
F9,02,KR103504GD96,국고03875-4309(23-9)                    1320230823202309102043091,0,,,Y
F9,02,KR103504GE95,국고02875-4409(24-10)                   1320240828202409102044091,0,,,Y
F9,02,KR103504GF94,국고02750-4509(25-9)                    1320250827202509102045091,0,,,N
F9,02,KR103505GC96,국고03500-7209(22-12)                   1320220919202209102072091,0,,,N
F9,02,KR103505GE94,국고02750-7409(24-11)                   1320240919202409102074091,0,,,N
F9,02,KR20010119A4,서울특별시채권2019-01                   1320191031201910302049103,0,,,N
F9,02,KR20010119C0,서울특별시채권2019-06                   1320191227201912242029122,4,,,N
F9,02,KR2001011A77,서울특별시채권2020-04                   1320200724202007232027072,3,,,N
F9,02,KR2001011B50,서울특별시채권2021-03                   1320210517202105142031051,4,,,N
F9,02,KR2001011B68,서울특별시채권2021-04                   1320210614202106112028061,1,,,N
F9,02,KR2001011BB1,서울특별시채권2021-05                   1320211122202111192026111,9,,,N
F9,02,KR2001011BC9,서울특별시채권2021-08                   1320211202202112012028120,1,,,N
