단축코드,표준코드,한글종목명,ELW권리형태,ELW조기종료발생기준가격,바스켓여부,기초자산코드1,기초자산코드2,기초자산코드3,기초자산코드4,기초자산코드5,발행사한글종목명,발행사코드,행사가,최종거래일,잔존일수,권리유형구분코드,지급일,전일시가총액(억),상장주수(천),시장참가자번호1,시장참가자번호2,시장참가자번호3,시장참가자번호4,시장참가자번호5,시장참가자번호6,시장참가자번호7,시장참가자번호8,시장참가자번호9,시장참가자번호10
52L551,KRA521109F84,미래L551삼성전자콜,0,000000000.000,N,005930,,,,,,00005,007030000,20260611,0014,C,20260617,000000529,000000000021800,00005,,,,,,,,,
52L598,KRA521156F86,미래L598SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,030050000,20260611,0014,C,20260617,000000514,000000000013700,00005,,,,,,,,,
52L655,KRA521108F93,미래L655삼성전자콜,0,000000000.000,N,005930,,,,,,00005,007800000,20260611,0014,C,20260617,000000399,000000000018900,00005,,,,,,,,,
52L669,KRA521122F95,미래L669네이버콜,0,000000000.000,N,035420,,,,,,00005,025500000,20260611,0014,C,20260617,000000002,000000000020900,00005,,,,,,,,,
52L676,KRA521129F98,미래L676셀트리온콜,0,000000000.000,N,068270,,,,,,00005,019300000,20260611,0014,C,20260617,000000004,000000000013900,00005,,,,,,,,,
52L687,KRA521140F93,미래L687하이브콜,0,000000000.000,N,352820,,,,,,00005,030950000,20260611,0014,C,20260617,000000000,000000000015900,00005,,,,,,,,,
52L782,KRA521111FA2,미래L782POSCO홀콜,0,000000000.000,N,005490,,,,,,00005,028800000,20260611,0014,C,20260617,000000048,000000000016700,00005,,,,,,,,,
52L794,KRA521123FA7,미래L794한국전력콜,0,000000000.000,N,015760,,,,,,00005,004080000,20260611,0014,C,20260617,000000003,000000000013900,00005,,,,,,,,,
52L798,KRA521127FA8,미래L798셀트리온콜,0,000000000.000,N,068270,,,,,,00005,018750000,20260611,0014,C,20260617,000000006,000000000015700,00005,,,,,,,,,
52L808,KRA521137FA7,미래L808LG화학콜,0,000000000.000,N,051910,,,,,,00005,030500000,20260611,0014,C,20260617,000000017,000000000017900,00005,,,,,,,,,
