종목코드,서버자동주문가능여부,TWAP가능여부,경제지표주문가능여부,필러,종목한글명,거래소코드,품목코드,품목종류,출력소수점,계산소수점,틱사이즈,틱가치,계약크기,가격표시진법,환산승수,최다월물여부,최근월물여부,스프레드여부,스프레드기준LEG1여부,서브거래소코드
SPIM26                          ,Y,Y,N,N,SPI200 Index-202606,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,1,1,N,N,10
SPIN26                          ,Y,Y,N,N,SPI200 Index-202607,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIQ26                          ,Y,Y,N,N,SPI200 Index-202608,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIU26                          ,Y,Y,N,N,SPI200 Index-202609,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIZ26                          ,Y,Y,N,N,SPI200 Index-202612,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIH27                          ,Y,Y,N,N,SPI200 Index-202703,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIM27                          ,Y,Y,N,N,SPI200 Index-202706,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
SPIU27                          ,Y,Y,N,N,SPI200 Index-202709,ASX       ,SPI,003,    0,    0,             1,            25,        25,  10,         1,0,0,N,N,10
XTM26                           ,N,N,N,N,10year A.U Bond-202606,ASX       ,XT,002,    3,    0,         0.001,         8.952,    100000,  10,      1000,1,1,N,N,10
XTU26                           ,N,N,N,N,10year A.U Bond-202609,ASX       ,XT,002,    3,    0,         0.001,         8.952,    100000,  10,      1000,0,0,N,N,10
YTM26                           ,N,N,N,N,3year A.U Bond-202606,ASX       ,YT,002,    3,    0,         0.001,          2.93,    100000,  10,      1000,1,1,N,N,10
YTU26                           ,N,N,N,N,3year A.U Bond-202609,ASX       ,YT,002,    3,    0,         0.001,          2.93,    100000,  10,      1000,0,0,N,N,10
DIF29                           ,N,N,N,N,1Day Interbank Deposit-20,BMF       ,DI,002,    3,    0,         0.001,        7.1928,    100000,  10,      1000,1,1,N,N,30
IBYM26                          ,N,N,N,N,iShares $ HY Corp Bond-20,CBOE      ,IBY,003,    4,    0,          0.01,            10,      1000,  10,       100,0,1,N,N,40
IBYU26                          ,N,N,N,N,iShares $ HY Corp Bond-20,CBOE      ,IBY,003,    4,    0,          0.01,            10,      1000,  10,       100,1,0,N,N,40
IBYZ26                          ,N,N,N,N,iShares $ HY Corp Bond-20,CBOE      ,IBY,003,    4,    0,          0.01,            10,      1000,  10,       100,0,0,N,N,40
IHBM26                          ,N,N,N,N,iShares $ Investment Grad,CBOE      ,IHB,003,    4,    0,          0.01,            10,      1000,  10,       100,0,1,N,N,40
IHBU26                          ,N,N,N,N,iShares $ Investment Grad,CBOE      ,IHB,003,    4,    0,          0.01,            10,      1000,  10,       100,1,0,N,N,40
IHBZ26                          ,N,N,N,N,iShares $ Investment Grad,CBOE      ,IHB,003,    4,    0,          0.01,            10,      1000,  10,       100,0,0,N,N,40
MGTNM26                         ,Y,Y,Y,N,Magnificent 10-202606,CBOE      ,MGTN,003,    3,    0,          0.01,             1,       100,  10,       100,1,1,N,N,40
