상품구분,상품종류,단축코드,표준코드,한글종목명,월물구분코드,기초자산단축코드,기초자산명
1,1,A65606,KR4A65660008,3년국채    F 202606,1,BM3,3년채
1,1,A65609,KR4A65690005,3년국채    F 202609,2,BM3,3년채
1,2,D6560601,KR4D656669S0,3년국채    SP 2606-2609,1,BM3,3년채
1,1,A66606,KR4A66660007,5년국채    F 202606,1,BM5,5년채
1,1,A66609,KR4A66690004,5년국채    F 202609,2,BM5,5년채
1,2,D6660601,KR4D666669S8,5년국채    SP 2606-2609,1,BM5,5년채
1,1,A67606,KR4A67660006,10년국채   F 202606,1,BMA,10년채
1,1,A67609,KR4A67690003,10년국채   F 202609,2,BMA,10년채
1,2,D6760601,KR4D676669S6,10년국채   SP 2606-2609,1,BMA,10년채
1,2,D6860600,KR4D68660002,3년-10년국채 SP 202606,1,B3A,3년-10년채
1,2,D6860900,KR4D68690009,3년-10년국채 SP 202609,2,B3A,3년-10년채
2,1,A75606,KR4A75660006,미국달러 F 202606,1,USD,미국달러
2,1,A75607,KR4A75670005,미국달러 F 202607,2,USD,미국달러
2,1,A75608,KR4A75680004,미국달러 F 202608,3,USD,미국달러
2,1,A75609,KR4A75690003,미국달러 F 202609,4,USD,미국달러
2,1,A75610,KR4A756A0000,미국달러 F 202610,5,USD,미국달러
2,1,A75611,KR4A756B0009,미국달러 F 202611,6,USD,미국달러
2,1,A75612,KR4A756C0008,미국달러 F 202612,7,USD,미국달러
2,1,A75701,KR4A75710009,미국달러 F 202701,8,USD,미국달러
2,1,A75702,KR4A75720008,미국달러 F 202702,9,USD,미국달러
2,1,A75703,KR4A75730007,미국달러 F 202703,0,USD,미국달러
2,1,A75704,KR4A75740006,미국달러 F 202704,1,USD,미국달러
2,1,A75705,KR4A75750005,미국달러 F 202705,2,USD,미국달러
2,1,A75706,KR4A75760004,미국달러 F 202706,3,USD,미국달러
2,1,A75709,KR4A75790001,미국달러 F 202709,4,USD,미국달러
2,1,A75712,KR4A757C0007,미국달러 F 202712,5,USD,미국달러
