상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산단축코드,기초자산명
1,1GNW04,KR41GNW40002,금양       F 202504 (  10), ,0.0,1,001570,금양
1,1GNW05,KR41GNW50001,금양       F 202505 (  10), ,0.0,2,001570,금양
1,1GNW06,KR41GNW60000,금양       F 202506 (  10), ,0.0,3,001570,금양
1,1GNW09,KR41GNW90007,금양       F 202509 (  10), ,0.0,4,001570,금양
1,1GNW12,KR41GNWC0009,금양       F 202512 (  10), ,0.0,5,001570,금양
2,4GNW0401,KR44GNW4W5S8,금양       SP 2504-2505 (  10), ,0.0,1,001570,금양
2,4GNW0402,KR44GNW4W6S6,금양       SP 2504-2506 (  10), ,0.0,1,001570,금양
2,4GNW0403,KR44GNW4W9S0,금양       SP 2504-2509 (  10), ,0.0,1,001570,금양
2,4GNW0404,KR44GNW4WCS1,금양       SP 2504-2512 (  10), ,0.0,1,001570,금양
2,4GNW0405,KR44GNW463S1,금양       SP 2504-2603 (  10), ,0.0,1,001570,금양
1,A0A606,KR4A0A660005,TKG휴켐스  F 202606 (  10), ,0.0,1,069260,TKG휴켐스
1,A0A607,KR4A0A670004,TKG휴켐스  F 202607 (  10), ,0.0,2,069260,TKG휴켐스
1,A0A608,KR4A0A680003,TKG휴켐스  F 202608 (  10), ,0.0,3,069260,TKG휴켐스
1,A0A609,KR4A0A690002,TKG휴켐스  F 202609 (  10), ,0.0,4,069260,TKG휴켐스
1,A0A612,KR4A0A6C0004,TKG휴켐스  F 202612 (  10), ,0.0,5,069260,TKG휴켐스
1,A0A703,KR4A0A730006,TKG휴켐스  F 202703 (  10), ,0.0,6,069260,TKG휴켐스
1,A0B606,KR4A0B660004,녹십자홀딩 F 202606 (  10), ,0.0,1,005250,녹십자홀딩스
1,A0B607,KR4A0B670003,녹십자홀딩 F 202607 (  10), ,0.0,2,005250,녹십자홀딩스
1,A0B608,KR4A0B680002,녹십자홀딩 F 202608 (  10), ,0.0,3,005250,녹십자홀딩스
1,A0B609,KR4A0B690001,녹십자홀딩 F 202609 (  10), ,0.0,4,005250,녹십자홀딩스
1,A0B612,KR4A0B6C0002,녹십자홀딩 F 202612 (  10), ,0.0,5,005250,녹십자홀딩스
1,A0B703,KR4A0B730005,녹십자홀딩 F 202703 (  10), ,0.0,6,005250,녹십자홀딩스
1,A0C606,KR4A0C660003,대웅       F 202606 (  10), ,0.0,1,003090,대웅
1,A0C607,KR4A0C670002,대웅       F 202607 (  10), ,0.0,2,003090,대웅
1,A0C608,KR4A0C680001,대웅       F 202608 (  10), ,0.0,3,003090,대웅
1,A0C609,KR4A0C690000,대웅       F 202609 (  10), ,0.0,4,003090,대웅
