구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
W,ATX       ,ATX,오스트리아 ATX,    , , , ,VIE ,317
W,AUD#XAO   ,Australia All Ordinaries,호주 AOI,    , , , ,AUSE,106
W,BEL#BEL   ,BEL-20,벨기에 BEL-20,    , , , ,EADQ,309
W,BR#BOVE   ,Bovespa,브라질 BOVESPA,    , , , ,RJSE,504
W,CAN#COM   ,CAD,캐나다 S&P/TSX,    , , , ,TTSE,502
W,CH#000300 ,CSI300 INDEX,CSI 300,    , , , ,SHSE,104
W,CH#000905 ,CSI500 INDEX,CSI 500,    , , , ,SHSE,104
W,CH#000906 ,CSI800 INDEX,CSI 800,    , , , ,SHSE,104
W,CH#SHA    ,ShanghaiAShare,상해A지수,    , , , ,SHSE,104
W,CH#SHB    ,ShanghaiBShare,상해B지수,    , , , ,SHSE,104
W,CH#SZA    ,ShenzhenAShare,심천A지수,    , , , ,SZSE,104
W,CH#SZB    ,ShenzhenBShare,심천B지수,    , , , ,SZSE,104
W,CL#IGPA   ,IPSA,칠레 IPSA,    , , , ,SISE,506
W,CZ#399101 ,SME COMP INX,심천 중소기업 지수,    , , , ,SZSE,104
W,CZ#399102 ,CHINEXT COMPOSITE,심천 ChiNext 지수,    , , , ,SZSE,104
W,DEN#KFX   ,KFX,덴마크 코펜하겐 20,    , , , ,CPSE,310
W,FR#CAC    ,Paris CAC 40,프랑스 CAC 40,    , , , ,PRSE,302
W,GB#FTSE   ,FTSE 100,영국지수,    , , , ,FTSE,301
W,GR#ASE    ,General Shares,그리스 ASE,    , , , ,ATSE,311
W,GR#DAX    ,Frankfurt Dax,독일 DAX 30,    , , , ,FSE ,303
W,HK#HS     ,Hang Seng,항셍지수,    , , , ,SEHK,102
W,HK#HSSI   ,Hang Seng Composite SmallCap Index,항셍 종합 소형주,    , , , ,SEHK,102
W,HSCE      ,HangSengChinaEnterprise,홍콩H지수,    , , , ,SEHK,102
W,ID#JK     ,Jakarta Composite,인도네시아 종합,    , , , ,JKSE,107
W,IN#BOMBAY ,BSE 30,인도 SENSEX,    , , , ,BMSE,111
W,JP#NI225  ,Nikkei Index,일본니케이 225지수,    , , , ,NIK ,101
W,KOSPI     ,KOSPI,한국코스피지수,    , , , ,KSE ,100
W,MERV      ,MerVal,아르헨티나 MERVAL,    , , , ,BASE,505
W,MY#KLSE   ,Kuala Lumpur Composite,말레이시아 KLCI,    , , , ,KLSE,110
W,NL#AEX    ,Netherlands(AEXGeneral),네덜란드 AEX,    , , , ,AMSE,305
W,NZ#NZSE   ,NZ Top 50 Cap,뉴질랜드 NZ50,    , , , ,NZSE,202
W,PH#MANILA ,PSE Composite,필리핀 PSEi Composite,    , , , ,PLSE,109
W,POL#WIG   ,WIG,폴란드 WIG,    , , , ,WSSE,   
W,PT#PSI    ,Portuguese Stock Index 20,포르투갈PSI 20,    , , , ,LBSE,308
W,SHANG     ,Shanghai Composite,중국상해종합지수,    , , , ,SHSE,104
W,SPN#IBEX  ,IBEX-35,스페인 IBEX-35,    , , , ,BRSE,307
W,SW#SM     ,Swiss Market,스위스 SMI,    , , , ,SWSE,306
W,SX5E      ,IND DJ EURO STOXX 50 Pr,유로STOXX50,    , , , ,STOX,303
W,SX7E      ,EURO STOXX BANKS,유로STOXX BANKS,    , , , ,STOX,303
W,SXAXPI    ,Stockholm General,스웨덴 OMX Stockholm,    , , , ,STSE,316
W,TH#BANG   ,Thailand SET,태국 SET,    , , , ,SETL,108
W,TR#IMKB   ,IMKB-100,터키 ISE100,    , , , ,ITSE,   
W,TW#WT     ,Taiwan Weighted,대만가권,    , , , ,TWSE,103
W,VEB       ,Venezuelan Bolivar VEB,베네주엘라 카라카스,    , , , ,CASE,508
W,VN#VNI    ,HO CHI MINH STOCK INDEX,베트남 호치민,    , , , ,VNSE,114
P,.DJI      ,DOW JONES INDUSTRIAL AVERAGE INDEX,다우존스 산업지수,    , , , ,DOWJ,501
P,.DJINET   ,DOW JONES COMPOSITE INTERNET INDEX,다우존스 인터넷,    , , , ,DOWJ,501
P,.DJT      ,DOW JONES TRANSPORTATION INDEX,다우존스 운송지수,    , , , ,DOWJ,501
P,.DJU      ,DOW JONES UTILITIES INDEX,다우존스 유틸리티,    , , , ,DOWJ,501
P,BANK      ,NASDAQ Bank,나스닥 은행,    ,0,0,0,NASD,501
P,COMP      ,NASDAQ Composite,나스닥 종합,    ,0,0,0,NASD,501
P,DJC       ,BBG Commodity Index,다우존스 UBS 상품지수,    , , , ,DOWJ,501
P,DJGT      ,DOW JONES GLOBAL TITANS INDEX(USD),GLOBAL TITANS INDEX(USD),    , , , ,DOWJ,501
P,DJR       ,DOW JONES EQUITY REIT INDEX,다우존스 부동산신탁,    , , , ,DOWJ,501
P,DJTATO    ,DOW JONES TITANS  AUTOMOBILES INDEX,World-자동차,    , , , ,DOWJ,501
P,DJTBAK    ,DOW JONES TITANS BANKS INDEX,World-은행,    , , , ,DOWJ,501
P,DJTBAS    ,DOW JONES TITANS BASIC RESOURCES INDEX,World-기초산업,    , , , ,DOWJ,501
P,DJTCGS    ,Dow Jones Travel & Leisure,World-여행레저,    , , , ,DOWJ,501
P,DJTCHE    ,DOW JONES TITANS CHEMICALS INDEX,World-화학제품,    , , , ,DOWJ,501
P,DJTCNS    ,DOW JONES TITANS CONSTRUCTION INDEX,World-건설,    , , , ,DOWJ,501
P,DJTENG    ,Dow Jones Oil & Gas,World-석유가스,    , , , ,DOWJ,501
P,DJTFOB    ,DOW JONES TITANS  FOOD & BEVERAGE INDEX,World-음식료,    , , , ,DOWJ,501
P,DJTFVS    ,DOW JONES TITANS  FINANCIAL SERVICES,World-금융,    , , , ,DOWJ,501
P,DJTHCA    ,DOW JONES TITANS HEALTHCARE INDEX,TITANS HEALTHCARE INDEX,    , , , ,DOWJ,501
P,DJTIGS    ,DOW JONES TITANS  INDUSTRIAL GOODS,World-제조업,    , , , ,DOWJ,501
P,DJTINN    ,DOW JONES TITANS  INSURANCE INDEX,World-보험,    , , , ,DOWJ,501
P,DJTMDI    ,DOW JONES TITANS  MEDIA INDEX,World-미디어,    , , , ,DOWJ,501
P,DJTNCG    ,DOW JONES TITANS  NON-CYCLICAL GOODS &,World-비순환상품서비스,    , , , ,DOWJ,501
P,DJTRET    ,DOW JONES TITANS  RETAIL INDEX,World-소매,    , , , ,DOWJ,501
P,DJTTEL    ,DOW JONES TITANS  TELECOMMUNICATIONS IN,World-통신,    , , , ,DOWJ,501
P,DJTTHE    ,DOW JONES TITANS  TECHNOLOGY INDEX,World-테크놀러지,    , , , ,DOWJ,501
P,DJUSAP    ,DOW JONES US AUTOMOBILES INDEX,다우존스 자동차제조,    , , , ,DOWJ,501
P,DJUSAT    ,DOW JONES US AUTO PARTS INDEX,다우존스 자동차부품,AUP , , , ,DOWJ,501
P,DJUSAV    ,DOW JONES US ADVERTISING INDEX,다우존스 광고미디어,ADV , , , ,DOWJ,501
P,DJUSBC    ,DOW JONES US BROADCASTING INDEX,다우존스 방송,BRD , , , ,DOWJ,501
P,DJUSCA    ,DOW JONES US CASINOS INDEX,다우존스 카지노,CNO , , , ,DOWJ,501
P,DJUSCH    ,DOW JONES US CHEMICALS INDEX,다우존스 화학,    , , , ,DOWJ,501
P,DJUSCN    ,DOW JONES US CONSTRUCTION AND MATERIALS,다우존스 건설,    , , , ,DOWJ,501
P,DJUSDB    ,DOW JONES US DISTILLER & BREWER INDEX,다우존스 주류,DST , , , ,DOWJ,501
P,DJUSEC    ,DOW JONES US ELECT CMPTS & EQUIP INDEX,다우존스 전자부품,ELQ , , , ,DOWJ,501
P,DJUSFB    ,DOW JONES US FOOD & BEVERAGE INDEX,다우존스 음식료,    , , , ,DOWJ,501
P,DJUSFC    ,DOW JONES US FIXED LINE COMMUNICATION I,다우존스 유선통신,FTS , , , ,DOWJ,501
P,DJUSHR    ,DOW JONES US HVY MACHINERY INDEX,다우존스 중장비,MAC , , , ,DOWJ,501
P,DJUSLG    ,DOW JONES US LODGING,다우존스 호텔숙박,LOD , , , ,DOWJ,501
P,DJUSMT    ,DOW JONES US MARINE TRANSPORT INDEX,다우존스 해상운송,MAR , , , ,DOWJ,501
P,DJUSNF    ,DOW JONES US NON FERROUS METALS INDEX,다우존스 비철금속,ONF , , , ,DOWJ,501
P,DJUSPB    ,DOW JONES US PUBLISHING INDEX,다우존스 출판,PUB , , , ,DOWJ,501
P,DJUSST    ,DOW JONES US STEEL INDEX,다우존스 철강,STL , , , ,DOWJ,501
P,DJUSTK    ,DOW JONES US TRUCKING INDEX,다우존스 육상운송,TRK , , , ,DOWJ,501
P,DJUSTR    ,DOW JONES US TIRES INDEX,다우존스 타이어,TIR , , , ,DOWJ,501
P,DJUSWC    ,DOW JONES US WIRELESS COMM INDEX,다우존스 무선통신,CTS , , , ,DOWJ,501
P,DRG       ,Amex Pharmaceutical Index,아멕스 제약 지수,    , , , ,AMEX,501
P,E1DOW     ,DOW JONES EUROPE STOCK INDEX,DJ Europe,    , , , ,DOWJ,501
P,E2DOW     ,DOW JONES EUROPE STOCK (EX UK) INDEX,DJ Europe (ex UK),    , , , ,DOWJ,501
P,HUI       ,Amex GOLD BUGS INDEX,아멕스 금광업체지수,    , , , ,AMEX,501
P,HWI       ,Amex Computer /Hardware index,아멕스컴퓨터/하드웨어,    , , , ,AMEX,501
P,INDS      ,NASDAQ INDUSTRIAL INDEX,나스닥 공업지수,    ,0,0,0,NASD,501
P,INSR      ,NASDAQ OTC Index - Insurance,나스닥 보험,    ,0,0,0,NASD,501
P,IXCO      ,NASDAQ Computer Index,나스닥 컴퓨터,    ,0,0,0,NASD,501
P,IXF       ,NASDAQ Financial 100 Index,나스닥 금융100지수,    ,0,0,0,NASD,501
P,IXHC      ,NASDAQ HealthCare,나스닥 헬스케어,    ,0,0,0,NASD,501
P,IXTC      ,NASDAQ Information Telecom,나스닥 정보통신,    ,0,0,0,NASD,501
P,JPN       ,Amex JAPAN INDEX,아멕스 일본지수,    , , , ,AMEX,501
P,MXY       ,Amex MEXICO INDEX,아멕스 멕시코지수,    , , , ,AMEX,501
P,NBI       ,NASDAQ Bio,나스닥 생명공학,    ,0,0,0,NASD,501
P,NDX       ,NASDAQ-100 (DRM),나스닥 100,    ,0,0,0,NASD,501
P,OFIN      ,NASDAQ OTC Index - Other Financial,나스닥 OTC Index - 기타금융,    ,0,0,0,NASD,501
P,OSX       ,PHLX OIL SERVICE SECTOR INDEX,필라델 원유 서버스 지수,    , , , ,PILA,501
P,SOX       ,PHLX SEMICONDUCTOR SECTOR INDEX,필라델피아 반도체지수,    ,0,0,0,PILA,501
P,SPX       ,S&P 500 INDEX,S&P500,    , , , ,SANP,501
P,SPXLTBUP  ,S&P 500 Low Volatility Target Beta Inde,S&P500 Low Volatility Tar,    , , , ,CME ,501
P,TOB       ,Amex TOBACCO INDEX,아멕스 담배지수,    , , , ,AMEX,501
P,TRAN      ,NASDAQ Transportation,나스닥 운송,    ,0,0,0,NASD,501
P,UTY       ,UTILITY SECTOR INDEX,필라델- 유틸리티 지수,    ,0,0,0,PILA,501
P,XAL       ,Amex AIRLINE INDEX,아멕스 항공지수,    , , , ,AMEX,501
P,XAU       ,GOLD AND SILVER SECTOR INDEX,필라델- 금/은 지수,    ,0,0,0,PILA,501
P,XBD       ,Amex Securities Broker/Dealer,아멕스 증권/브로커,    , , , ,AMEX,501
P,XCI       ,Amex Computer Technology Index,아멕스 컴퓨터기술지수,    , , , ,AMEX,501
P,XII       ,Amex INSTITUTIONAL I,아멕스 기관투자자지수,    , , , ,AMEX,501
P,XLY       ,AMEX Consumer Discretionary SPDR,아멕스 임의소비재 SPDR,    , , , ,AMEX,501
P,XNDXL     ,NASDAQ-100 Leveraged Total Return Index,NASDAQ-100 Leveraged Tota,    ,0,0,0,NASD,501
P,XNDXS1    ,NASDAQ-100 1x Short Total Return Index,NASDAQ-100 1x Short Total,    ,0,0,0,NASD,501
P,XNDXS2    ,NASDAQ-100 2x Short Total Return Index,NASDAQ-100 2x Short Total,    ,0,0,0,NASD,501
P,XNG       ,Amex Natural Gas Index,아멕스 천연가스 지수,    , , , ,AMEX,501
P,XOI       ,Amex Oil Index,아멕스 원유,    , , , ,AMEX,501
P,XTC       ,Amex North American Telecom Index,아멕스 북미통신 지수,    , , , ,AMEX,501
Q,A         ,"Agilent Technologies, Inc.",에이질런트 테크날러지,ITC ,0,0,1,NYSE,501
Q,AA        ,ALCOA INC,알코아,ALU ,0,0,0,NYSE,501
Q,AAL       ,American Airlines Group,아메리칸 에어라인스 그룹,    ,0,0,0,NASD,501
Q,AAP       ,Advance Auto Parts,어드밴스 오토 파츠,    ,0,0,0,NYSE,501
Q,AAPL      ,Apple,애플,CPR ,1,1,1,NASD,501
