단축코드,표준코드,한글종목명,상장일자,현재가,상장주수,시장구분,상한가,상한가2,하한가,전일종가,시가,고가,저가,종가,누적거래량,기준가,52주최저가,52주최고가,52주최고가일,52주최고대비율,52주최저가일,52주최저대비율,w52저가
0070X0,KR70070X0000,에스테크엠                              S,0168NNN,00000,000,0,000000000,000000000,000000000,000000000,0 N 0,000012,000075500,000000000,6042700000000000151,000500202,097000000,000000000,0100N090,0NNN00000,0001NNN0,150000010,T000011
052960,KR7052960002,태양3C                                  S,0163NNN,23100000,00020241,0,003900000,000000420,000000310,000009050,0 N 0,900012,000244353,700000000,3012600000000000488,000500202,001000000,000000000,0100N090,0NNN00000,0001NNN0,345000010,T000003
059180,KR7059180000,엔더블유시                              S,0259NNN,23100000,00020251,0,001700000,00000018-,00000010-,00000191-,0 N 0,500012,000265704,400000000,5122200000000000531,000500202,360000000,000000000,0100N090,0NNN00000,0001NNN0,885000010,T000004
066830,KR7066830001,제노텍                                  S,0073NNN,23100000,00720241,0,0008-0000,00000008-,00000010-,00000025-,0 N 0,000012,000283359,700000000,6071800000000000566,000500201,002000000,000000000,0100N090,0NNN00000,0001NNN0,300000010,T000001
076340,KR7076340009,지에이이노더스                          S,0233NNN,23100000,00020241,0,014600000,000001860,000000600,000018060,0 N 0,000012,000243573,100000000,5051800000000000487,000500201,000000000,000000000,0100N090,0NNN00000,0001NNN0,790000010,T000004
086220,KR7086220001,광동헬스바이오                          S,0175NNN,23100000,01220241,0,0020-0000,00000020-,00000010-,00000655-,0 N 0,250012,000634393,700000000,5070900000000001268,000500201,180000000,000000001,0100N090,0NNN00000,0001NNN0,384000010,T000001
092590,KR7092590009,럭스피아                                S,0057NNN,23100000,00620241,0,0009-0000,00000011-,00000011-,00000179-,0 N 0,900012,000364554,100000000,5103000000000000729,000500201,014000000,000000000,0100N090,0NNN00000,0001NNN0,788000010,T000000
093510,KR7093510006,엔지브이아이                            S,0029NNN,23100000,00020241,0,0008-3610,00000008-,00000007-,00000006-,0 N 0,000012,000301000,000000000,9093000000000000602,000500201,114000000,000000000,0100N090,0NNN00000,0001NNN0,498000010,T000000
102950,KR7102950003,아하                                    S,0229NNN,23100000,00020251,0,002200000,00000027-,00000003-,00000790-,0 N 0,300012,000692382,100000000,2113000000000001312,000500202,407000000,000000002,0100N090,0NNN00000,0001NNN0,750000010,T000001
103660,KR7103660007,씨앗                                    S,0083NNN,23100000,00020241,0,000300000,00000003-,00000025-,000002790,0 N 0,550012,000300873,700000000,5062200000000000601,000500201,001000000,000000000,0100N090,0NNN00000,0001NNN0,390000010,T000001
112190,KR7112190004,KC산업                                  S,0326NNN,23100000,00120241,0,000500000,000000060,000000950,000008430,0 N 0,450012,001360244,400000000,6053100000000002720,000500201,945000000,000000002,0100N090,0NNN00000,0001NNN0,200000010,T000001
114920,KR7114920002,대주이엔티                              S,0083NNN,23100000,00020241,0,003200000,000000500,000000810,000008780,0 N 0,000012,000173475,900000000,3070100000000000346,000500201,054000000,000000000,0100N090,0NNN00000,0001NNN0,420000010,T000002
116100,KR7116100009,태양기계                                S,0046NNN,23100000,00520241,0,000800000,000000110,000000210,000003510,0 N 0,300012,000371999,900000000,3070100000000000743,000500201,040000000,000000000,0100N090,0NNN00000,0001NNN0,622000010,T000000
121060,KR7121060008,유니포인트                              S,0046NNN,23100000,00520241,0,000300000,000000020,000000020,000005430,0 N 0,150012,000259689,300000000,4102400000000000519,000500201,002000000,000000000,0100N090,0NNN00000,0001NNN0,899000010,T000000
122830,KR7122830003,원포유                                  S,0323NNN,23100000,01620241,0,002500000,000000290,000000280,000001000,0 N 0,850012,000327519,100000000,0102300000000003275,000100202,517000000,000000021,0100N090,0NNN00000,0001NNN0,988000010,T000000
136660,KR7136660008,큐엠씨                                  S,0040NNN,23100000,07920241,0,0034-0000,00000034-,00000020-,00000072-,0 N 0,500012,000118047,000000000,4070100000000000236,000500201,268000000,000000000,0100N090,0NNN00000,0001NNN0,700000010,T000001
140610,KR7140610007,엔솔바이오사이언스                      S,1697NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,650012,000694453,900000000,8091000000000001388,000500201,311000000,000000004,0100N090,0NNN00000,0001NNN0,220000010,T000012
140660,KR7140660002,위월드                                  S,0022NNN,23100000,00520241,0,000400000,000000030,000000010,000000420,0 N 0,600012,000124362,700000000,3122600000000000248,000500201,001000000,000000000,0100N090,0NNN00000,0001NNN0,900000010,T000000
149010,KR7149010001,아이케이세미콘                          S,0127NNN,23100000,00020251,0,001500000,000000160,000000160,000001720,0 N 0,000012,000156000,000000000,4111400000000000312,000500201,052000000,000000000,0100N090,0NNN00000,0001NNN0,095000010,T000004
162120,KR7162120000,루켄테크놀러지스                        S,0318NNN,23100000,00020251,0,002600000,00000023-,00000012-,00000173-,0 N 0,100012,000557830,600000000,7072500000000001115,000500201,484000000,000000003,0100N090,0NNN00000,0001NNN0,855000010,T000002
169670,KR7169670007,코스텍시스템                            S,0205NNN,23100000,00420241,0,000500000,000000010,000000010,000002390,0 N 0,000012,000176305,800000000,2012100000000000286,000500202,342000000,000000000,0100N090,2NNN00000,0001NNN0,150000010,T000007
176590,KR7176590008,코나솔                                  S,0149NNN,23100000,02220241,0,0033-0000,00000042-,00000033-,00000189-,0 N 0,150012,000291819,600000000,2061500000000000583,000500202,080000000,000000000,0100N090,0NNN00000,0001NNN0,565000010,T000002
178600,KR7178600003,대동고려삼                              S,0081NNN,63000000,00520250,0,0014-0000,00000003-,00000012-,000004570,0 N 0,000006,000222480,900000000,3122000000000000444,000500201,466000000,000000000,0100N090,0NNN00000,0001NNN0,835000010,T000001
179720,KR7179720008,머니무브                                S,0236NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,900012,000137500,000000000,3070100000000000275,000500201,000000000,000000000,0100N090,0NNN00000,0001NNN0,600000010,T000008
180060,KR7180060006,탑선                                    S,0702NNN,23100000,00020241,0,007300000,000000940,000000500,000011000,0 N 0,300012,000467383,700000000,7102700000000000934,000500201,382000000,000000005,0100N090,0NNN00000,0001NNN0,510000010,T000007
185190,KR7185190006,수프로                                  S,0082NNN,33100000,00720250,0,000400000,000000030,000000040,000002780,0 N 0,500003,000184772,800000000,3102900000000000923,000200201,022000000,000000002,0100N090,0NNN00000,0001NNN0,889000010,T000000
189350,KR7189350002,코셋                                    S,0085NNN,23100000,08120241,0,0020-0000,00000019-,00000016-,00000098-,0 N 0,000012,000240000,000000000,3122400000000000480,000500201,520000000,000000031,0100N090,0NNN00000,0001NNN0,779000010,T000001
191600,KR7191600006,블루탑                                  S,0194NNN,23100000,01020241,0,0014-0000,00000013-,00000004-,000004500,0 N 0,400012,000142946,800000000,6080500000000000285,000500201,232000000,000000000,0100N090,0NNN00000,0001NNN0,800000010,T000006
199150,KR7199150004,데이터스트림즈                          S,0075NNN,23100000,00020251,0,000300000,000000030,000000040,000002070,0 N 0,650012,000213430,800000000,4062500000000000426,000500201,075000000,000000000,0100N090,0NNN00000,0001NNN0,769000010,T000001
199290,KR7199290008,바이오프로테크                          S,0066NNN,23100000,00020251,0,000000000,000000000,000000230,000003420,0 N 0,600012,000816259,500000000,6120800000000001632,000500201,299000000,000000001,0100N090,0NNN00000,0001NNN0,409000010,T000000
200580,KR7200580009,메디쎄이                                S,0460NNN,23100000,00020251,0,003300000,000000360,000000400,000002830,0 N 0,950012,000186303,600000000,5102000000000000372,000500201,042000000,000000000,0100N090,0NNN00000,0001NNN0,370000010,T000012
