단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSDAQ섹터업종,KOSDAQ100,KOSDAQ150,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터보험,KRX섹터운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSDAQ,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
900110,HK0000057197,딥커머스,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,71300001,1,YNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,0,20100,42300000,3687400000,96104702512,,0 NN0,0,0,0,0,0,477000000,059000000,077000560,0,2202509,30000000,262   NNN,,,,
900270,HK0000214814,헝셩그룹,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,89000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,21163900000,20160,81800000,2440400000,61037570712,,0 NN0,0,0,0,0,0,751000000,000000000,01000008-,0,1202509,30000000,217   NNN,,,,
900260,HK0000295359,로스웰,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,166400001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,14065800000,20160,63000000,4602900000,102955864312,,0 NN0,0,0,0,0,3,844000000,042000000,095000840,0,5202509,30000000,765   NNN,,,,
900290,HK0000307485,GRT,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,343500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,35453500000,20161,2500000,8180000000,105514000006,,0 NN0,0,0,0,0,2,631000000,429000000,407003430,0,8202509,30000002,809   NNN,,,,
900300,HK0000312568,오가닉티코스메틱,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,9100001,1,YNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,0,20161,10400000,38900400000,170928108512,,0 NN0,0,0,0,0,1,224-00000,560-00000,681-0681-,0,27202509,30000000,353   NNN,,,,
900310,HK0000341732,컬러레이,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,52000001,1,YNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,0,20170,81000000,6404100000,39834322412,,0 NN0,0,0,0,0,0,362000000,017000000,014000120,0,202509,30000000,333   NNN,,,,
900340,HK0000449303,윙입푸드,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,74200001,1,YNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,0,20181,13000000,5033000000,36671486812,,0 NN0,0,0,0,0,1,443000000,094000000,072000610,0,3202509,30000000,373   NNN,,,,
0001A0,KR70001A0001,덕양에너젠,ST,0.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,1,240000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,26231000000,50020260,13000000,2479100000,1284003750012,,0 NN0,0,0,0,0,0,370000000,014000000,012000090,0,202603,31000003,074   NNN,,,,
000250,KR7000250001,삼천당제약,ST,1.0,1009,1024,0,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,0,0,0,3,3,800000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,16471600000,50020001,400000,2345700000,1172873600012,,0 NY0,0,0,0,0,2,318000000,085000000,125001200,0,2202512,31000079,286   NNN,,,,
000440,KR7000440008,중앙에너비스,ST,3.0,1011,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,1,700000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,65239600000,50019930,32400000,622700000,311356500012,,0 NN0,0,0,0,0,0,112-00000,002-00000,002-0002-,0,2202603,31000001,058   NNN,,,,
0004V0,KR70004V0003,엔비알모션,ST,0.0,1009,1026,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,1,447000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,29283900000,100020260,11400000,1040400000,1040446800012,,0 NN0,0,0,0,0,0,151-00000,012-00000,020-00200,0,202603,31000001,505   NNN,,,,
0004Y0,KR70004Y0000,디비금융제14호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,472000000,10020250,72200000,531500000,53150000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,202412,31000000,106   NNN,,,,
0007C0,KR70007C0003,아크릴,ST,0.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,3,40000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,16938700000,50020251,21600000,803000000,401516200012,,0 NN0,0,0,0,0,0,133-00000,023-00000,028-00280,0,202512,31000002,441   NNN,,,,
0007J0,KR70007J0006,인벤테라,ST,0.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,1,538000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,8634000000,50020260,40200000,786500000,393285700012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,1,209   NNN,,,,
0008Z0,KR70008Z0005,에스엔시스,ST,2.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,2,985000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,10205700000,50020250,81900000,943600000,491416650012,,0 NN0,0,0,0,0,0,343000000,038000000,048000370,0,13202603,31000002,816   NNN,,,,
0009K0,KR70009K0001,에임드바이오,ST,0.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,0,0,0,0,3,650000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,16589800000,50020251,20400000,6467100000,3233558050012,,0 NN0,0,0,0,0,0,085-00000,040-00000,020-00200,0,202603,31000023,604   NNN,,,,
001000,KR7001000009,신라섬유,ST,3.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,132300001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,2374700000,10019940,62800000,2427700000,242775400012,,0 NN0,0,0,0,0,0,037000000,004-00000,003-0003-,0,2202412,31000000,321   NNN,,,,
0010F0,KR70010F0005,보원케미칼,ST,0.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,356500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,29075800000,50020260,40300000,1114300000,557180050012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,397   NNN,,,,
0010V0,KR70010V0005,제이피아이헬스케어,ST,3.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,916000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,2567400000,50020250,82100000,510500000,255270000012,,0 NN0,0,0,0,0,0,108000000,005000000,017000160,0,10202603,31000000,467   NNN,,,,
0011A0,KR70011A0009,액스비스,ST,0.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,2,35000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,9597400000,50020260,30900000,933300000,466687000012,,0 NN0,0,0,0,0,0,111000000,008000000,012000110,0,202603,31000001,899   NNN,,,,
0011T0,KR70011T0008,채비,ST,0.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,1,163000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,108655500000,50020260,42900000,4694900000,2347479550012,,0 NN0,0,0,0,0,1,017-00000,296-00000,337-03380,0,202512,31000005,460   NNN,,,,
